LYT-Net 2024 (c) Brateanu, A., Balmez, R., Avram A., Orhei, C.C.
(15/03/2025 22:33:03) Training on dataset: LOLv2_Real
(15/03/2025 22:33:03) Loading dataset LOLv2_Real.
(15/03/2025 22:33:05) Successfully loaded dataset.
(15/03/2025 22:33:07) Starting training.
(15/03/2025 22:35:15) Epoch 1 | GT-PSNR: 21.73 | PSNR: 12.16 | SSIM: 0.757 | loss=1.447791
(15/03/2025 22:35:15) Saved model as net_psnr_21.73_ssim_0.757_epoch_1_dataset_LOLv2_Real.h5.
(15/03/2025 22:36:53) Epoch 2 | GT-PSNR: 23.06 | PSNR: 17.40 | SSIM: 0.787 | loss=0.431577
(15/03/2025 22:36:53) Saved model as net_psnr_23.06_ssim_0.787_epoch_2_dataset_LOLv2_Real.h5.
(15/03/2025 22:38:31) Epoch 3 | GT-PSNR: 23.21 | PSNR: 16.61 | SSIM: 0.789 | loss=1.589609
(15/03/2025 22:38:32) Saved model as net_psnr_23.21_ssim_0.789_epoch_3_dataset_LOLv2_Real.h5.
(15/03/2025 22:40:09) Epoch 4 | GT-PSNR: 22.42 | PSNR: 14.20 | SSIM: 0.779 | loss=0.589421
(15/03/2025 22:41:48) Epoch 5 | GT-PSNR: 24.00 | PSNR: 16.16 | SSIM: 0.798 | loss=0.411763
(15/03/2025 22:41:48) Saved model as net_psnr_24.00_ssim_0.798_epoch_5_dataset_LOLv2_Real.h5.
(15/03/2025 22:43:26) Epoch 6 | GT-PSNR: 23.48 | PSNR: 19.49 | SSIM: 0.795 | loss=0.463372
(15/03/2025 22:45:04) Epoch 7 | GT-PSNR: 24.85 | PSNR: 15.55 | SSIM: 0.812 | loss=0.602194
(15/03/2025 22:45:04) Saved model as net_psnr_24.85_ssim_0.812_epoch_7_dataset_LOLv2_Real.h5.
(15/03/2025 22:46:43) Epoch 8 | GT-PSNR: 24.24 | PSNR: 18.12 | SSIM: 0.805 | loss=0.869733
(15/03/2025 22:48:21) Epoch 9 | GT-PSNR: 24.21 | PSNR: 19.05 | SSIM: 0.806 | loss=0.860368
(15/03/2025 22:50:00) Epoch 10 | GT-PSNR: 25.74 | PSNR: 19.20 | SSIM: 0.830 | loss=0.382601
(15/03/2025 22:50:00) Saved model as net_psnr_25.74_ssim_0.830_epoch_10_dataset_LOLv2_Real.h5.
(15/03/2025 22:51:38) Epoch 11 | GT-PSNR: 22.95 | PSNR: 17.43 | SSIM: 0.784 | loss=0.400274
(15/03/2025 22:53:17) Epoch 12 | GT-PSNR: 23.20 | PSNR: 16.15 | SSIM: 0.791 | loss=0.634791
(15/03/2025 22:54:57) Epoch 13 | GT-PSNR: 23.80 | PSNR: 17.27 | SSIM: 0.804 | loss=0.418465
(15/03/2025 22:56:35) Epoch 14 | GT-PSNR: 25.24 | PSNR: 16.50 | SSIM: 0.826 | loss=0.432989
(15/03/2025 22:58:14) Epoch 15 | GT-PSNR: 25.29 | PSNR: 15.34 | SSIM: 0.833 | loss=0.582799
(15/03/2025 22:59:53) Epoch 16 | GT-PSNR: 25.58 | PSNR: 18.82 | SSIM: 0.835 | loss=0.511254
(15/03/2025 23:01:32) Epoch 17 | GT-PSNR: 25.84 | PSNR: 17.41 | SSIM: 0.837 | loss=0.498847
(15/03/2025 23:01:32) Saved model as net_psnr_25.84_ssim_0.837_epoch_17_dataset_LOLv2_Real.h5.
(15/03/2025 23:03:11) Epoch 18 | GT-PSNR: 25.18 | PSNR: 16.26 | SSIM: 0.824 | loss=0.678119
(15/03/2025 23:04:49) Epoch 19 | GT-PSNR: 24.46 | PSNR: 20.11 | SSIM: 0.813 | loss=0.510438
(15/03/2025 23:06:28) Epoch 20 | GT-PSNR: 24.65 | PSNR: 18.86 | SSIM: 0.822 | loss=0.848526
(15/03/2025 23:08:07) Epoch 21 | GT-PSNR: 26.12 | PSNR: 18.13 | SSIM: 0.841 | loss=1.466423
(15/03/2025 23:08:07) Saved model as net_psnr_26.12_ssim_0.841_epoch_21_dataset_LOLv2_Real.h5.
(15/03/2025 23:09:47) Epoch 22 | GT-PSNR: 25.64 | PSNR: 19.12 | SSIM: 0.836 | loss=0.916350
(15/03/2025 23:11:26) Epoch 23 | GT-PSNR: 24.78 | PSNR: 15.18 | SSIM: 0.831 | loss=0.221300
(15/03/2025 23:13:05) Epoch 24 | GT-PSNR: 24.10 | PSNR: 17.80 | SSIM: 0.806 | loss=1.358664
(15/03/2025 23:14:44) Epoch 25 | GT-PSNR: 25.80 | PSNR: 20.38 | SSIM: 0.836 | loss=0.298846
(15/03/2025 23:16:23) Epoch 26 | GT-PSNR: 24.23 | PSNR: 19.85 | SSIM: 0.815 | loss=0.838944
(15/03/2025 23:18:02) Epoch 27 | GT-PSNR: 25.14 | PSNR: 16.90 | SSIM: 0.832 | loss=0.409214
